ID,Name,SirName,Age,Location
8b6eb3fa-e269-4abd-a42d-bc6bd18d845d,Ada,Lovelace,36,London
2a72c855-a441-4110-b989-5209a526cdd0,Alan,Turing,41,Cambridge
be585274-2eff-4ac9-9322-f85a4edeb81e,Grace,Hopper,45,New York
d2a7d102-976f-4a94-9e80-2c15fe0a6b6a,Linus,Torvalds,54,Portland
afbf176e-8a34-48f8-a98e-046174c38eca,Margaret,Hamilton,52,Boston
95884b7c-f3a0-4db9-afe7-f28bcb8e58a0,Ken,Thompson,48,Berkeley
141b4d9a-ddb2-42be-bb56-c2f60aa12431,Barbara,Liskov,39,Boston
1e87d53c-20c8-4ca9-ba34-c138a30dbb9d,Dennis,Ritchie,44,Murray Hil
d12a0f4c-ccb6-4d1d-ab1a-b39c5cf0a01d,Katherine,Johnson,58,Hampton
649be017-d73c-4743-aea9-b6405731d515,Tim,Berners-Lee,47,Geneva
24df12a6-9fc6-4c58-bc74-93b96ea69009,Radia,Perlman,42,Seattle
87bfdf7d-10f9-4a06-900c-ff4577cea0e1,Vint,Cerf,56,Los Angele
dae3c8c2-7dc7-4a12-ac70-5d2b4c4f313d,Anita,Borg,37,Palo Alto
8ba1cf55-1d9c-4648-ad0c-13a9c9ef80a2,Guido,van Rossum,49,Amsterdam
7bfe2901-6ae3-480e-9c05-ce0ead65daed,Shafi,Goldwasser,43,Haifa
863f9907-7138-4a9a-ad1d-8742f827069b,Bjarne,Stroustrup,51,Aarhus
d9c90901-a992-4f26-9534-c4528b8c1b46,Frances,Allen,57,Peekskill
3423578e-41c2-412a-9d88-35a5c76a0db1,James,Gosling,53,Calgary
1ab294ce-273c-4f63-818d-dde902d43985,Sophie,Wilson,46,Cambridge
b17c05ac-7f74-44c3-bb10-7ae620095fa6,Yukihiro,Matsumoto,38,Matsue
